Index,ID,Query,SmilesRan,Error,Exp_Value:_-Log10(mol/L),Pred_Value:_-Log10(mol/L),Exp_Value:_mg/L,Pred_Value:_mg/L,
990,NOCAS_860472,O1C2(C(OC(=O)C2(O[H])[H])(C(O[H])(C1(O[H])[H])[H])[H])[H],,Structure can't be parsed,,,,,bmse001023
991,16414-46-3,P(OC1(OC(C(O[H])(C(O[H])(C1(O[H])[H])[H])[H])(C(O[H])([H])[H])[H])[H])(OP(OC(C2(OC(N3C(=O)N(C(=O)C(=C3[H])[H])[H])(C(O[H])(C2(O[H])[H])[H])[H])[H])([H])[H])(O[H])=O)(O[H])=O,,Structure can't be parsed,,,,,bmse001024
992,3237-44-3,O(C(C(C([H])([H])[H])(C([H])([H])[H])[H])(C(C(O[H])=O)([H])[H])C(O[H])=O)[H],O=C(O)CC(O)(C(=O)O)C(C)C,,N/A,2.59,N/A,448.66,bmse001025
993,C_WOBXACRJIURDTO-UHFFFAOYSA-O,P(OC(C([N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])([H])[H])([H])[H])(OC(C(OC(=O)[H])(C(O[H])([H])[H])[H])([H])[H])(O[H])=O,[H]OC([H])([H])C([H])(OC([H])=O)C([H])([H])OP(=O)(O[H])OC([H])([H])C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],,N/A,N/A,N/A,N/A,bmse001026
994,6931-84-6,P(OC(C([N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])([H])[H])([H])[H])(OC(C(OC(=O)C(C(C(C(C(C(C(C(=C(C(C(=C(C(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H])[H])([H])[H])[H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])(C(OC(=O)C(C(C(C(C(C(C(C(C(C(C(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H])([H])[H])([O-])=O,O=C(OCC(OC(=O)CCCCCCCC=CCC=CCCCCC)COP(=O)([O-])OCC[N+](C)(C)C)CCCCCCCCCCCCCCC,,N/A,N/A,N/A,N/A,bmse001027
995,C_IDNYCOXVOUHNHN-UHFFFAOYSA-N,P(O)(OC(C(C(OC(C(C(C(C(C(C(C(C(C(C(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])=O)([H])[H])OC(C(C(C(C(C(C(C(C(C(=C(C(C(=C(C(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H])[H])([H])[H])[H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])=O)([H])[H])(OC(C(OC(C(C(C(C(C(C(C(C(C(=C(C(C(=C(C(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H])[H])([H])[H])[H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])=O)C(OC(C(C(C(C(C(C(C(C(C(C(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])=O)([H])[H])([H])[H])=O,[H]C(=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)OC(C([H])([H])OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])OP(=O)(O)OC([H])([H])C(OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])=C([H])C([H])([H])C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],,N/A,N/A,N/A,N/A,bmse001028
996,104-88-1,ClC1=C(C(=C(C(=C1[H])[H])C(=O)[H])[H])[H],O=CC1=CC=C(Cl)C=C1,,4.8,4.29,2.2,7.17,bmse001029
997,108-90-7,ClC1=C(C(=C(C(=C1[H])[H])[H])[H])[H],ClC=1C=CC=CC1,,3.65,3.75,25.49,19.84,bmse001030
998,C_ZPEHSARSWGDCEX-UHFFFAOYSA-M,O1C(=C(C(C1=O)([H])[H])[H])C(C([O-])=O)([H])[H],[H]C1=C(OC(=O)C1([H])[H])C([H])([H])C(=O)[O-],,N/A,N/A,N/A,N/A,bmse001031
999,739-27-5,O=C1C2(C3(C(C(C(C2(C4(C(C1([H])[H])(C(=O)C(C4([H])[H])([H])[H])C([H])([H])[H])[H])[H])([H])[H])([H])[H])(C(C(O[H])(C(C3([H])[H])([H])[H])[H])([H])[H])[H])C([H])([H])[H])[H],O=C1CC2(C(=O)CCC2C3CCC4CC(O)CCC4(C)C13)C,,N/A,4.5,N/A,9.7,bmse001032
1000,C_WQXNXVUDBPYKBA-UHFFFAOYSA-N,O(C(=O)C1(N(C(=NC(C1([H])[H])([H])[H])C([H])([H])[H])[H])[H])[H],[H]OC(=O)C1([H])N([H])C(=NC([H])([H])C1([H])[H])C([H])([H])[H],,N/A,N/A,N/A,N/A,bmse001100
1001,C_PJAAESPGJOSQGZ-UHFFFAOYSA-N,O=C(C12C(C3(C(C(C(C3([H])[H])(C([H])([H])[H])C([H])([H])[H])([H])[H])(C(=C1C(=O)[H])[H])[H])[H])(C2([H])[H])C([H])([H])[H])[H],[H]C(=O)C1=C([H])C2([H])C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C2([H])C3(C([H])([H])[H])C([H])([H])C13C([H])=O,,N/A,5.98,N/A,0.24,bmse001101
1002,143-25-9,O(C(=O)C(C(C(C(C(C(C(C(C(C(=C(C(C(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H],O=C(O)CCCCCCCCCC=CCCCCCC,,3.14,5.82,205.14,0.43,bmse001102
1003,480-40-0,O1C=2C(C(=O)C(=C1C3=C(C(=C(C(=C3[H])[H])[H])[H])[H])[H])=C(O[H])C(=C(O[H])C2[H])[H],O=C1C=C(OC=2C=C(O)C=C(O)C12)C=3C=CC=CC3,,N/A,5.26,N/A,1.39,bmse001103
1004,2049-96-9,O(C(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])C(=O)C1=C(C(=C(C(=C1[H])[H])[H])[H])[H],O=C(OCCCCC)C=1C=CC=CC1,,N/A,4.96,N/A,2.12,bmse001104
1005,C_TWHQNHQPSCPQNY-UHFFFAOYSA-N,P(OC(C(OC(=O)C(C(C(C(C(C(C(C(=C(C(C(C(C(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])(C(OC(=O)C(C(C(C(C(C(C(C(=C(C(C(C(C(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H])([H])[H])(OC(C(O[H])(C(OP(OC(C(OC(=O)C(C(C(C(C(C(C(C(=C(C(C(C(C(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])(C(OC(=O)C(C(C(C(C(C(C(C(=C(C(C(C(C(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H])([H])[H])(O[H])=O)([H])[H])[H])([H])[H])(O[H])=O,[H]OC([H])(C([H])([H])OP(=O)(O[H])OC([H])([H])C([H])(OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])OP(=O)(O[H])OC([H])([H])C([H])(OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],,N/A,N/A,N/A,N/A,bmse001105
1006,C_XPVVGUHKLPZAEN-UHFFFAOYSA-N,[Zn+2].[N-]1C2=C(C3=NC(=C(C=4[N-]C(C(=C5N=C(C(=C1C(=C2[H])[H])C6=C(C(=C(C(=C6[H])[H])[H])[H])[H])C(=C5[H])[H])C7=C(C(=C(C(=C7[H])[H])[H])[H])[H])=C(C4[H])[H])C8=C(C(=C(C(=C8[H])[H])[H])[H])[H])C(=C3[H])[H])C9=C(C(=C(C(=C9[H])[H])[H])[H])[H],[Zn+2].[H]C=1C([H])=C([H])C(=C([H])C1[H])C2=C3N=C(C([H])=C3[H])C(=C4[N-]C(C([H])=C4[H])=C(C5=NC(C([H])=C5[H])=C(C=6[N-]C2=C([H])C6[H])C7=C([H])C([H])=C([H])C([H])=C7[H])C8=C([H])C([H])=C([H])C([H])=C8[H])C9=C([H])C([H])=C([H])C([H])=C9[H],Multiple molecules,,,,,bmse001106
1007,88542-99-8,P(OC1(C(O[H])(C(O[H])(C(O[H])(C(O[H])(C1(O[H])[H])[H])[H])[H])[H])[H])(OC(C(OC(=O)C(C(C(C(C(C(C(C(=C(C(C(=C(C(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H])[H])([H])[H])[H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])(C(OC(=O)C(C(C(C(C(C(C(C(C(C(C(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H])([H])[H])([O-])=O,O=C(OCC(OC(=O)CCCCCCCC=CCC=CCCCCC)COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O)CCCCCCCCCCCCCCC,,N/A,N/A,N/A,N/A,bmse001107
1008,124-19-6,O=C(C(C(C(C(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H],O=CCCCCCCCC,,N/A,4.62,N/A,3.44,bmse001108
1009,641628-11-7,P(OC(C([N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])([H])[H])([H])[H])(OC(C(N(C(=O)C(C(C(C(C(C(C(C(C(C(C(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H])(C(O[H])(C(=C(C(C(C(C(C(C(C(C(C(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H])[H])[H])[H])([H])[H])([O-])=O,O=C(NC(COP(=O)([O-])OCC[N+](C)(C)C)C(O)C=CCCCCCCCCCCCCC)CCCCCCCCCCCCCCC,,N/A,N/A,N/A,N/A,bmse001109
1010,C_AAYACJGHNRIFCT-UHFFFAOYSA-M,[Na+].O(C1(C2(C3(C(C(C(C3([H])[H])([H])[H])(C(C(C(C(=O)N(C(C([O-])=O)([H])[H])[H])([H])[H])([H])[H])(C([H])([H])[H])[H])[H])(C(C(C2(C4(C(C1([H])[H])(C(C(O[H])(C(C4([H])[H])([H])[H])[H])([H])[H])[H])C([H])([H])[H])[H])([H])[H])([H])[H])C([H])([H])[H])[H])[H])[H])[H],[Na+].[H]OC1([H])C([H])([H])C([H])([H])C2(C([H])([H])[H])C([H])(C1([H])[H])C([H])([H])C([H])(O[H])C3([H])C4([H])C([H])([H])C([H])([H])C([H])(C([H])(C([H])([H])[H])C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C(=O)[O-])C4(C([H])([H])[H])C([H])([H])C([H])([H])C32[H],Multiple molecules,,,,,bmse001110
1011,NOCAS_859879,C12(C(C(C(C(=C1C(C(C(C2([H])[H])(C(C([H])([H])[H])=C([H])[H])[H])([H])[H])([H])[H])[H])([H])[H])([H])[H])(C([H])([H])[H])[H])C([H])([H])[H],,Structure can't be parsed,,,,,bmse001111
1012,C_VAWYEUIPHLMNNF-UHFFFAOYSA-N,O1C(OC2(OC(C(O[H])(C(O[H])(C2(O[H])[H])[H])[H])(C(O[H])([H])[H])[H])[H])(C(O[H])(C(O[H])(C1(C(O[H])([H])[H])[H])[H])[H])C(OC3(OC(C(O[H])(C3(O[H])[H])[H])(C(O[H])([H])[H])[H])C(O[H])([H])[H])([H])[H],[H]OC([H])([H])C1([H])OC([H])(OC2(OC([H])(C([H])([H])O[H])C([H])(O[H])C2([H])O[H])C([H])([H])OC3(OC([H])(C([H])([H])O[H])C([H])(O[H])C3([H])O[H])C([H])([H])O[H])C([H])(O[H])C([H])(O[H])C1([H])O[H],,N/A,1.7,N/A,10070.19,bmse001112
1013,NOCAS_862159,O(C1(C(C2(C(C3(C(C4(C(C5(C(C(C4([H])[H])([H])[H])(C(C(C(C5(C([H])([H])[H])[H])(C([H])([H])[H])[H])([H])[H])([H])[H])C(O[H])([H])[H])[H])=C(C3([H])[H])[H])C([H])([H])[H])(C(C2([H])[H])([H])[H])C([H])([H])[H])[H])(C(C1([H])[H])([H])[H])C([H])([H])[H])[H])(C([H])([H])[H])C([H])([H])[H])[H])[H],OCC12CCC(C)C(C)C2C3=CCC4C5(C)CCC(O)C(C)(C)C5CCC4(C)C3(C)CC1,,N/A,5.87,N/A,0.59,bmse001113
1014,1204-06-4,O(C(=O)C(=C(C=1C=2C(N(C1[H])[H])=C(C(=C(C2[H])[H])[H])[H])[H])[H])[H],O=C(O)C=CC1=CNC=2C=CC=CC12,,N/A,5.38,N/A,0.79,bmse001114
1015,53892-41-4,P(OC(C([N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])([H])[H])([H])[H])(OC(C(OC(=O)C(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])(C(OC(=O)C(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H])([H])[H])(O[H])=O,O=C(OCC(OC(=O)CCCCC)COP(=O)([O-])OCC[N+](C)(C)C)CCCCC,,N/A,N/A,N/A,N/A,bmse001115
1016,C_ZBLHTNMJPDLJFU-UHFFFAOYSA-M,C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(=O)OC(C(C(OP(=O)([O-])OC(C(N(C(=O)C(C(C(C(C1(C2(C(C(S1)([H])[H])(N(C(=O)N2[H])[H])[H])[H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H])([H])[H])([H])[H])([H])[H])(OC(=O)C(C(C(C(C(C(C(C(C(C(C(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])([H])[H].[Na+],[Na+].[H]N(C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])SC([H])([H])C2([H])N([H])C(=O)N([H])C12[H])C([H])([H])C([H])([H])OP(=O)([O-])OC([H])([H])C([H])(OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],Multiple molecules,,,,,bmse001116
1017,C_CSBBOJBLMMDIFP-UHFFFAOYSA-M,C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(=O)OC(C([H])(C(OP(=O)([O-])OC(C(N(C(=O)C(C(C(=O)O[H])([H])[H])([H])[H])[H])([H])[H])([H])[H])([H])[H])OC(=O)C(C(C(C(C(C(C(C(C(C(C(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])([H])[H].[Na+],[Na+].[H]OC(=O)C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])OP(=O)([O-])OC([H])([H])C([H])(OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],Multiple molecules,,,,,bmse001117
1018,C_CZADSKBJSXZLIB-UHFFFAOYSA-M,[H]C12C(C(C3([H])C4([H])C(C(C(=O)C4(C([H])([H])[H])C(C(C3([H])C1(C([H])([H])[H])C(C(C([H])(OS(=O)(=O)[O-])C2([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H].[Na+],[Na+].[H]C([H])([H])C12C(=O)C([H])([H])C([H])([H])C2([H])C3([H])C([H])([H])C([H])([H])C4([H])C([H])([H])C([H])(OS(=O)(=O)[O-])C([H])([H])C([H])([H])C4(C([H])([H])[H])C3([H])C([H])([H])C1([H])[H],Multiple molecules,,,,,bmse001118
1019,C_WTJKGGKOPKCXLL-UHFFFAOYSA-N,P(OC(C([N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])([H])[H])([H])[H])(OC(C(OC(=O)C(C(C(C(C(C(C(C(=C(C(C(C(C(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])(C(OC(=O)C(C(C(C(C(C(C(C(C(C(C(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H])([H])[H])([O-])=O,[H]C(=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)OC([H])(C([H])([H])OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])OP(=O)([O-])OC([H])([H])C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],,N/A,N/A,N/A,N/A,bmse001119
1020,21870-97-3,C(C(C(C(C(C(=C(C(=C(C(C(C(C(C(C(C(C(C(=O)OC([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H])[H])[H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])([H])[H],O=C(OC)CCCCCCCCC=CC=CCCCCC,,N/A,5.94,N/A,0.34,bmse001120
1021,67604-48-2,O1C(C(C(=O)C=2C1=C(C(O[H])=C(C2O[H])[H])[H])([H])[H])(C3=C(C(=C(O[H])C(=C3[H])[H])[H])[H])[H],O=C1C=2C(O)=CC(O)=CC2OC(C3=CC=C(O)C=C3)C1,,N/A,5.33,N/A,1.27,bmse001121
1022,60-82-2,O=C(C(C(C1=C(C(=C(O[H])C(=C1[H])[H])[H])[H])([H])[H])([H])[H])C2=C(O[H])C(=C(O[H])C(=C2O[H])[H])[H],O=C(C=1C(O)=CC(O)=CC1O)CCC2=CC=C(O)C=C2,,N/A,5.54,N/A,0.78,bmse001122
1023,7541-49-3,O(C(C(=C(C(C(C(C(C(C(C(C(C(C(C(C(C([H])([H])[H])(C([H])([H])[H])[H])([H])[H])([H])[H])([H])[H])(C([H])([H])[H])[H])([H])[H])([H])[H])([H])[H])(C([H])([H])[H])[H])([H])[H])([H])[H])([H])[H])C([H])([H])[H])[H])([H])[H])[H],OCC=C(C)CCCC(C)CCCC(C)CCCC(C)C,,N/A,5.49,N/A,0.96,bmse001123
1024,520-36-5,O1C=2C(C(=O)C=C1C3=CC=C(O)C=C3)=C(O)C=C(O)C2,O=C1C=C(OC=2C=C(O)C=C(O)C12)C=3C=CC(O)=CC3,,N/A,5.56,N/A,0.74,bmse001124
1025,624-15-7,O(C(C(=C(C(C(C(=C(C([H])([H])[H])C([H])([H])[H])[H])([H])[H])([H])[H])C([H])([H])[H])[H])([H])[H])[H],OCC=C(C)CCC=C(C)C,,4.59,4.41,4,5.94,bmse001125
1026,C_MKSVFGKWZLUTTO-UHFFFAOYSA-N,Cl[H].Cl[H].O1C(C(N(C(=O)C(N([H])[H])(C(C2=C(C(=C(OC([H])([H])[H])C(=C2[H])[H])[H])[H])([H])[H])[H])[H])(C(O[H])(C1(N3C=4N=C(N=C(N(C([H])([H])[H])C([H])([H])[H])C4N=C3[H])[H])[H])[H])[H])(C(O[H])([H])[H])[H],Cl[H].Cl[H].[H]OC([H])([H])C1([H])OC([H])(N2C([H])=NC=3C2=NC([H])=NC3N(C([H])([H])[H])C([H])([H])[H])C([H])(O[H])C1([H])N([H])C(=O)C([H])(N([H])[H])C([H])([H])C4=C([H])C([H])=C(OC([H])([H])[H])C([H])=C4[H],Multiple molecules,,,,,bmse001126
1027,69097-99-0,O1C(C(C(=O)C=2C1=C(C(O[H])=C(C2O[H])[H])[H])([H])[H])(C3=C(C(O[H])=C(OC([H])([H])[H])C(=C3[H])[H])[H])[H],O=C1C=2C(O)=CC(O)=CC2OC(C3=CC=C(OC)C(O)=C3)C1,,N/A,5.61,N/A,0.74,bmse001127
1028,NOCAS_859110,O(C1(C(C2(C(C3=C(C4(C(C(C(C4([H])[H])([H])[H])(C(C(C(C(=C(C([H])([H])[H])C([H])([H])[H])[H])([H])[H])([H])[H])(C([H])([H])[H])[H])[H])(C(C3([H])[H])([H])[H])C([H])([H])[H])C([H])([H])[H])C(C2([H])[H])([H])[H])(C(C1([H])[H])([H])[H])C([H])([H])[H])[H])(C([H])([H])[H])C([H])([H])[H])[H])[H],,Structure can't be parsed,,,,,bmse001128
1029,C_HAYYCBJSDPVHMI-UHFFFAOYSA-N,O1C=2C(C(=C(OC([H])([H])[H])C(=O)C2[H])[H])=C(C(=C1O[H])[H])[H],[H]OC=1OC2=C([H])C(=O)C(OC([H])([H])[H])=C([H])C2=C([H])C1[H],,N/A,3.27,N/A,103.62,bmse001129
1030,NOCAS_859672,O1C2(C(OC3(OC(C(C(=O)C13O[H])([H])[H])(C([H])([H])[H])[H])[H])(C(O[H])(C(N(C([H])([H])[H])[H])(C(O[H])(C2(N(C([H])([H])[H])[H])[H])[H])[H])[H])[H])[H],,Structure can't be parsed,,,,,bmse001130
1031,16910-92-2,C1(C(C(C(C(=C1C(=C(C(C([H])([H])[H])=C(C(=C(C(C([H])([H])[H])=C(C(=C(C(=C(C(=C(C(=C(C(=C(C=2C(C(C(C(C2C([H])([H])[H])([H])[H])([H])[H])([H])[H])(C([H])([H])[H])C([H])([H])[H])[H])[H])C([H])([H])[H])[H])[H])[H])C([H])([H])[H])[H])[H])[H])[H])[H])[H])[H])[H])[H])C([H])([H])[H])([H])[H])([H])[H])([H])[H])(C([H])([H])[H])C([H])([H])[H],C(=CC=C(C=CC=C(C=CC1=C(C)CCCC1(C)C)C)C)C=C(C=CC=C(C=CC2=C(C)CCCC2(C)C)C)C,,N/A,N/A,N/A,N/A,bmse001131
1032,NOCAS_859250,O(C1(C2(C3(C(C(C(C3([H])[H])([H])[H])(C(C(C(C(O[H])=O)([H])[H])([H])[H])(C([H])([H])[H])[H])[H])(C(C(C2(C4(C(C1([H])[H])(C(C(O[H])(C(C4([H])[H])([H])[H])[H])([H])[H])[H])C([H])([H])[H])[H])([H])[H])([H])[H])C([H])([H])[H])[H])[H])[H])[H],,Structure can't be parsed,,,,,bmse001132
1033,5699-41-2,O=C(N(C(C(C(C(N([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H])C([H])([H])[H],O=C(NCCCCN)C,,N/A,2.54,N/A,376.99,bmse001133
1034,3/6/2140,[O-]C(=O)C([N+](=C(N([H])[H])[H])[H])([H])[H],O=C(O)CN=CN,,N/A,N/A,N/A,N/A,bmse001134
1035,C_VRRHHTISESGZFN-UHFFFAOYSA-N,O=C(C=1C2(C(C3(C(C4(C(C(C3([H])[H])([H])[H])=C(C(=O)C(C4([H])[H])([H])[H])[H])C([H])([H])[H])(C(C2([H])[H])([H])[H])[H])[H])(C(C1[H])([H])[H])[H])C([H])([H])[H])C([H])([H])[H],[H]C=1C(=O)C([H])([H])C([H])([H])C2(C1C([H])([H])C([H])([H])C3([H])C4([H])C([H])([H])C([H])=C(C(=O)C([H])([H])[H])C4(C([H])([H])[H])C([H])([H])C([H])([H])C32[H])C([H])([H])[H],,N/A,5.67,N/A,0.67,bmse001135
1036,133294-37-8,O(C1=C(C(C(=C(C2=C(C(=C(O[H])C(=C2[H])[H])[H])[H])[H])[H])=C(C(O[H])=C1[H])[H])[H])[H],OC1=CC=C(C=C1)C=CC=2C=C(O)C=C(O)C2,,N/A,5.94,N/A,0.26,bmse001136
